log_M, ah, gh, qtil, b,  N,f
-2.07832, 9.98754, 0.120878, 0.000696756 ,0.409334, 230 ,-700.716
-2.26096, 10.0524, 0.249918, 0.000809155 ,0.678693, 144.711 ,-701.265
-2.16057, 9.95228, 0.180355, 0.000860741 ,0.370249, 223.67 ,-702.471
-2.29656, 10.0589, 0.344913, 0.000641742 ,0.972959, 142.929 ,-696.846
-2.0859, 10.1447, 0.276149, 0.000713512 ,0.737662, 161.516 ,-699.429
-2.06514, 10.2471, 0.323078, 0.000582962 ,0.0625458, 209.972 ,-697.312
-2.23835, 9.83078, 0.121132, 0.000675946 ,0.0717062, 172.33 ,-700.561
-2.07092, 10.0058, 0.100478, 0.000417898 ,0.681942, 327.038 ,-696.472
-2.23475, 10.0277, 0.164486, 0.000495157 ,0.149645, 158.293 ,-701.719
-2.35939, 9.87291, 0.161061, 0.000746912 ,0.373699, 151.195 ,-700.938
-2.28321, 9.79818, 0.201467, 0.000623184 ,0.327488, 141.428 ,-701.402
-2.1898, 10.07, 0.147491, 0.000465905 ,0.734717, 226.84 ,-698.756
-1.96956, 10.0361, 0.184221, 1.45559e-005 ,0.676175, 231.199 ,-700.471
-2.2724, 9.91932, 0.19775, 3.35019e-005 ,0.705371, 168.486 ,-702.205
-2.22635, 10.0746, 0.247929, 0.00022994 ,0.486959, 103.45 ,-699.828
-2.36155, 10.0661, 0.218733, 0.000176629 ,0.296033, 111.943 ,-700.657
-2.09785, 10.1084, 0.258733, 0.000221908 ,0.315412, 176.552 ,-700.907
-2.06895, 9.89642, 0.143541, 0.000284582 ,0.699379, 210.353 ,-701.214
-2.28186, 9.94923, 0.179798, 0.000354806 ,0.143152, 133.59 ,-702.216
-2.1704, 10.1295, 0.189987, 0.000315217 ,0.588268, 180.036 ,-700.551
-2.11142, 9.77673, 0.162014, 0.000106695 ,0.782789, 219.262 ,-700.377
-2.16425, 10.0439, 0.24875, 5.30655e-005 ,0.205146, 156.782 ,-701.716
-2.45486, 9.63126, 0.146696, 0.000285898 ,0.171916, 98.0985 ,-699.574
-2.06916, 9.94397, 0.178054, 0.000566967 ,0.606439, 214.067 ,-702.269
-2.27765, 9.78552, 0.178885, 0.000174009 ,0.226236, 128.006 ,-701.472
-2.06171, 10.0066, 0.148609, 0.000233635 ,0.484206, 211.665 ,-701.685
-2.07802, 9.98979, 0.206523, 0.000311121 ,0.169113, 239.224 ,-702.259
-2.19838, 10.2022, 0.189918, 0.000499249 ,1.25929, 164.557 ,-695.716
-2.13979, 9.85728, 0.159023, 0.000894075 ,0.501236, 258.665 ,-700.846
-2.32075, 9.90732, 0.252879, 0.00129695 ,1.04739, 126.248 ,-698.983
-2.1775, 9.96649, 0.249068, 0.00135639 ,0.079715, 193.816 ,-701.162
-2.03418, 9.97915, 0.201809, 0.00170182 ,0.438993, 197.906 ,-701.239
-2.40989, 9.9157, 0.206186, 0.00192444 ,0.136221, 85.9507 ,-700.015
-2.15682, 9.92623, 0.224612, 0.00161156 ,0.106885, 138.213 ,-701.133
-2.24784, 10.1398, 0.203334, 0.00135564 ,0.27106, 140.326 ,-700.358
-2.30889, 9.69245, 0.150865, 0.00147652 ,0.291577, 136.226 ,-700.675
-2.00426, 10.064, 0.201167, 0.00163303 ,0.117938, 226.649 ,-701.011
-2.22699, 9.9543, 0.203587, 0.00152554 ,0.427989, 168.777 ,-702.482
-2.1011, 10.0719, 0.185627, 0.00134651 ,0.251442, 204.508 ,-701.798
-2.05688, 10.1497, 0.212654, 0.00173564 ,0.355812, 194.985 ,-700.155
-2.27099, 10.0817, 0.201653, 0.0020422 ,0.0789061, 150.697 ,-701.142
-2.11314, 9.96554, 0.159277, 0.00248848 ,0.685242, 208.032 ,-701.5
-2.32035, 9.73081, 0.149297, 0.00251584 ,0.521646, 114.871 ,-700.188
-2.22023, 10.0663, 0.198435, 0.00253784 ,0.157692, 143.369 ,-701.65
-2.16944, 10.0875, 0.282201, 0.00260933 ,0.459255, 137.751 ,-699.998
-2.53063, 10.3444, 0.466221, 0.00240721 ,0.485353, 79.641 ,-694.214
-2.23631, 9.72285, 0.144224, 0.0025133 ,0.0789951, 165.637 ,-700.755
-2.1134, 9.99645, 0.227571, 0.00252945 ,0.667514, 164.456 ,-700.73
-2.29058, 9.39879, 0.102458, 0.00269429 ,0.0605287, 117.177 ,-698.558
-2.48182, 9.81634, 0.17175, 0.00250022 ,0.116304, 91.5311 ,-699.826
-2.30597, 9.89542, 0.166653, 0.00266989 ,0.143427, 130.871 ,-701.861
-2.30191, 9.80295, 0.139938, 0.00258457 ,0.28883, 155.191 ,-700.936
-2.1178, 9.90373, 0.183915, 0.00245298 ,0.534585, 221.871 ,-701.935
-2.0953, 9.91606, 0.198379, 0.00245988 ,0.270112, 308.186 ,-699.666
-2.1637, 9.83961, 0.154708, 0.0025776 ,0.447393, 164.406 ,-701.399
-2.0739, 9.98034, 0.213025, 0.00257761 ,0.171793, 221.243 ,-702.048
-2.28053, 9.97946, 0.234983, 0.00249191 ,0.102952, 147.923 ,-701.702
-2.16476, 9.81896, 0.192301, 0.00235219 ,0.341583, 223.488 ,-700.688
-2.10023, 9.92024, 0.117072, 0.00224312 ,0.0785773, 281.926 ,-699.49
-2.28405, 9.92346, 0.251162, 0.00203409 ,0.38501, 151.659 ,-700.726
-2.11008, 9.95123, 0.150321, 0.00181168 ,0.624004, 175.404 ,-701.305
-2.3148, 9.97048, 0.202518, 0.00192227 ,0.248158, 149.27 ,-701.688
-2.13411, 9.97403, 0.173929, 0.00173685 ,0.172819, 167.229 ,-702.41
-2.13769, 9.94887, 0.165324, 0.00166469 ,0.556647, 197.192 ,-702.45
-2.0163, 9.91655, 0.199724, 0.00183388 ,0.5011, 242.388 ,-700.443
